tasker_id;id;order_id;created_at
1403756;412036;156843;2021-10-20 13:45:58
6330965;412035;156851;2021-10-20 13:45:39
84771290;412029;151372;2021-10-20 13:44:26
8093090;412021;156875;2021-10-20 13:43:54
7235561;412019;156875;2021-10-20 13:42:55
15316744;412008;156837;2021-10-20 13:41:17
7009025;411981;156778;2021-10-20 13:33:51
7009025;411973;156791;2021-10-20 13:32:55
22065411;411954;156853;2021-10-20 13:28:32
2368790;411952;156433;2021-10-20 13:28:16
96087858;411944;156853;2021-10-20 13:27:29
2368790;411939;156691;2021-10-20 13:26:01
55889720;411935;156851;2021-10-20 13:25:37
90114782;411921;156843;2021-10-20 13:23:34
4661323;411917;156778;2021-10-20 13:21:50
9468127;411905;156837;2021-10-20 13:18:33
1450253;411900;156843;2021-10-20 13:17:33
33379482;411897;156837;2021-10-20 13:16:48
4669462;411890;156837;2021-10-20 13:14:52
82676385;411889;156664;2021-10-20 13:14:48
77254628;411888;156767;2021-10-20 13:14:24
1352496;411885;156837;2021-10-20 13:12:19
90214973;411884;156837;2021-10-20 13:12:05
74569743;411883;156837;2021-10-20 13:11:38
1403756;411882;156621;2021-10-20 13:11:37
14916383;411881;156837;2021-10-20 13:11:12
7235561;411869;156664;2021-10-20 13:03:32
50321186;411858;156788;2021-10-20 13:01:03
11095977;411854;156821;2021-10-20 12:59:21
43381507;411850;156791;2021-10-20 12:59:09
11983960;411849;156791;2021-10-20 12:58:18
17318663;411845;156791;2021-10-20 12:57:16
15459709;411840;156672;2021-10-20 12:54:25
3881594;411839;156767;2021-10-20 12:54:23
16917866;411831;156821;2021-10-20 12:50:58
11095977;411827;156819;2021-10-20 12:48:10
25440027;411816;156778;2021-10-20 12:44:32
90470392;411814;154330;2021-10-20 12:43:44
4661323;411812;156664;2021-10-20 12:41:39
22255299;411811;156014;2021-10-20 12:41:30
9468127;411810;156783;2021-10-20 12:41:24
90470392;411805;156788;2021-10-20 12:39:41
4661323;411786;156431;2021-10-20 12:34:19
1352496;411766;156788;2021-10-20 12:30:03
91021807;411764;156790;2021-10-20 12:29:36
8093090;411762;156788;2021-10-20 12:29:06
46977783;411742;154200;2021-10-20 12:23:47
20095198;411740;156788;2021-10-20 12:23:33
6465243;411733;156783;2021-10-20 12:22:43
3589455;411729;156672;2021-10-20 12:22:00
83557644;411727;156783;2021-10-20 12:20:43
33379482;411726;156778;2021-10-20 12:19:59
3018384;411721;156778;2021-10-20 12:18:15
6924232;411717;156788;2021-10-20 12:17:32
33379482;411716;156788;2021-10-20 12:17:22
64743712;411715;156151;2021-10-20 12:17:03
48901943;411714;156788;2021-10-20 12:16:57
3018384;411710;156778;2021-10-20 12:15:27
35881206;411706;156778;2021-10-20 12:15:05
8332417;411690;156778;2021-10-20 12:10:16
20095198;411685;156664;2021-10-20 12:08:48
13602434;411684;156770;2021-10-20 12:07:35
6704679;411664;156770;2021-10-20 12:03:47
2270847;411662;156770;2021-10-20 12:03:38
3589455;411657;156764;2021-10-20 12:01:12
9159616;411656;156764;2021-10-20 12:00:48
10610945;411655;156672;2021-10-20 12:00:44
66623150;411652;156764;2021-10-20 12:00:16
8332417;411650;156764;2021-10-20 12:00:03
14916383;411649;156764;2021-10-20 11:59:59
48901943;411641;156151;2021-10-20 11:58:01
59751719;411636;156747;2021-10-20 11:56:37
827359;411633;156754;2021-10-20 11:53:21
83557644;411632;156747;2021-10-20 11:53:12
77254628;411615;156747;2021-10-20 11:48:55
29173711;411608;154500;2021-10-20 11:45:11
55889720;411583;155666;2021-10-20 11:39:51
55889720;411580;156367;2021-10-20 11:39:17
55889720;411576;155636;2021-10-20 11:38:37
29173711;411558;156424;2021-10-20 11:35:32
11013641;411551;156151;2021-10-20 11:33:02
50981765;411540;156160;2021-10-20 11:29:53
29173711;411539;155636;2021-10-20 11:28:56
20576597;411536;156680;2021-10-20 11:28:07
10413794;411531;156676;2021-10-20 11:26:37
7407975;411525;148821;2021-10-20 11:25:44
5997690;411520;155636;2021-10-20 11:21:23
11645775;411518;156699;2021-10-20 11:19:34
11645775;411515;156699;2021-10-20 11:18:07
11645775;411510;156672;2021-10-20 11:17:10
14916383;411508;156711;2021-10-20 11:15:15
12738145;411505;144788;2021-10-20 11:14:06
8177102;411504;156431;2021-10-20 11:13:59
12738145;411499;156680;2021-10-20 11:12:42
12738145;411493;156424;2021-10-20 11:09:59
13602434;411486;156623;2021-10-20 11:05:28
3589455;411462;156672;2021-10-20 10:58:55
4170415;411449;156672;2021-10-20 10:55:53
56912389;411447;156672;2021-10-20 10:55:41
9197331;411435;156431;2021-10-20 10:51:30
4131698;411427;156672;2021-10-20 10:48:57
8093090;411419;156664;2021-10-20 10:46:17
10413794;411414;156682;2021-10-20 10:43:41
807643;411407;156672;2021-10-20 10:40:43
13742497;411405;156680;2021-10-20 10:40:04
84980488;411404;155666;2021-10-20 10:39:41
93955542;411391;156672;2021-10-20 10:36:43
6505077;411388;156672;2021-10-20 10:36:15
66623150;411386;156672;2021-10-20 10:35:39
4428299;411385;156672;2021-10-20 10:35:30
15316744;411384;156664;2021-10-20 10:35:27
5061509;411381;156672;2021-10-20 10:35:12
45528240;411379;156672;2021-10-20 10:35:04
15316744;411377;156672;2021-10-20 10:34:50
83557644;411361;156664;2021-10-20 10:29:36
2826292;411344;156028;2021-10-20 10:22:31
7645116;411302;156596;2021-10-20 10:11:58
50321186;411291;156153;2021-10-20 10:07:56
9266893;411265;155636;2021-10-20 10:03:59
9786170;411264;156621;2021-10-20 10:03:50
4131698;411261;156623;2021-10-20 10:03:18
14916383;411255;156630;2021-10-20 10:02:10
15316744;411254;156630;2021-10-20 10:02:09
4661323;411253;156623;2021-10-20 10:02:08
9468127;411247;156623;2021-10-20 09:59:25
14916383;411240;156623;2021-10-20 09:57:27
92202634;411231;156621;2021-10-20 09:55:38
41170323;411230;156621;2021-10-20 09:55:35
22065411;411206;156596;2021-10-20 09:49:16
22065411;411194;156596;2021-10-20 09:45:13
921517;411168;156596;2021-10-20 09:35:55
74569743;411124;154880;2021-10-20 09:25:24
74569743;411118;156160;2021-10-20 09:24:40
32231578;411094;156160;2021-10-20 09:17:44
54048261;411085;156568;2021-10-20 09:15:58
14916383;411066;156557;2021-10-20 09:08:18
9468127;411065;156557;2021-10-20 09:07:45
50321186;411041;156151;2021-10-20 09:00:47
55889720;411038;154512;2021-10-20 08:59:33
55889720;411030;156427;2021-10-20 08:56:09
55889720;411015;153852;2021-10-20 08:52:58
54048261;410966;156515;2021-10-20 08:41:21
54558269;410956;156469;2021-10-20 08:37:55
10413794;410955;156369;2021-10-20 08:37:52
9787998;410932;156405;2021-10-20 08:33:36
1403756;410930;156436;2021-10-20 08:33:12
1403756;410928;156405;2021-10-20 08:32:43
1403756;410923;156499;2021-10-20 08:32:21
84550958;410891;151372;2021-10-20 08:24:59
90114782;410882;156499;2021-10-20 08:22:46
41170323;410879;156499;2021-10-20 08:22:13
1450253;410876;156499;2021-10-20 08:21:57
55889720;410866;156488;2021-10-20 08:19:46
91327051;410852;156249;2021-10-20 08:18:43
25116654;410822;156480;2021-10-20 08:14:39
6924232;410820;156480;2021-10-20 08:14:15
83557644;410813;156480;2021-10-20 08:13:39
4105535;410810;156480;2021-10-20 08:13:16
2510930;410786;156448;2021-10-20 08:07:26
54365421;410783;156470;2021-10-20 08:07:02
22812979;410772;156153;2021-10-20 08:04:20
91327051;410742;156151;2021-10-20 07:59:30
8563175;410741;155992;2021-10-20 07:59:26
83557644;410712;156427;2021-10-20 07:49:38
1450253;410687;156436;2021-10-20 07:44:34
65121955;410682;156405;2021-10-20 07:44:07
1387703;410681;156433;2021-10-20 07:43:52
10859031;410678;156424;2021-10-20 07:43:33
91327051;410669;156028;2021-10-20 07:42:02
49353912;410668;156427;2021-10-20 07:41:57
10610945;410656;156427;2021-10-20 07:39:36
9266893;410608;156356;2021-10-20 07:33:29
9965451;410555;156356;2021-10-20 07:24:08
